drug	atc
dr:D00563	N06AX11
dr:D00564	B01AA03
dr:D00565	C10AB05
dr:D00566	N02BA04
dr:D00567	L01XX33
dr:D00567	M01AH01
dr:D00568	M01AH02
dr:D00569	N02BE03
dr:D00570	M04AC01
dr:D00571	V03AB03
dr:D00573	L02AE03
dr:D00574	L02BG01
dr:D00577	G03CB02
dr:D00577	G03CC05
dr:D00577	L02AA01
dr:D00578	J02AC03
dr:D00579	J05AD01
dr:D00581	G01AC01
dr:D00582	P01CB02
dr:D00583	L01AC01
dr:D00584	L01BC02
dr:D00585	G03XB01
dr:D00586	L02BB01
dr:D00587	J01EC02
dr:D00588	J01MA12
dr:D00588	S01AE05
dr:D00589	J01MA16
dr:D00589	S01AE06
dr:D00590	J01MA09
dr:D00591	J04AD03
dr:D00592	D10AX05
dr:D00592	J04BA02
dr:D00593	A10BB12
dr:D00594	A10BX02
dr:D00595	A10BA03
dr:D00596	A10BG02
dr:D00597	C07AB04
dr:D00598	C07AB05
dr:D00598	S01ED02
dr:D00599	C07AA15
dr:D00599	S01ED05
dr:D00600	C07AG01
dr:D00601	C07AB02
dr:D00602	C07AA23
dr:D00603	C07AA06
dr:D00603	S01ED01
dr:D00604	C02AC01
dr:D00604	N02CX02
dr:D00604	S01EA04
dr:D00606	C02AC02
dr:D00608	C02CA04
dr:D00609	C02CA01
dr:D00610	G04CA03
dr:D00611	C02BB01
dr:D00612	C02BA01
dr:D00613	C01CA19
dr:D00614	C02DD01
dr:D00615	C08CA01
dr:D00616	C05AE03
dr:D00616	C08DB01
dr:D00617	C08CA04
dr:D00618	C08CA07
dr:D00619	C08DA01
dr:D00620	C09AA07
dr:D00621	C09AA02
dr:D00622	C09AA09
dr:D00623	C09AA13
dr:D00624	C09AA04
dr:D00625	A10BF02
dr:D00626	C09CA06
dr:D00627	C09CA07
dr:D00629	C08CA08
dr:D00630	C01DA14
dr:D00631	C08EA02
dr:D00632	C01CA07
dr:D00633	C01CA04
dr:D00634	C07AB07
dr:D00635	C07AB02
dr:D00636	C01BD01
dr:D00637	C01BA03
dr:D00638	C01BC04
dr:D00639	C01BB02
dr:D00640	C01BC03
dr:D00642	C01BA01
dr:D00643	C01BA01
dr:D00644	C07AB09
dr:D00645	C01BD02
dr:D00646	G04BD07
dr:D00647	C01BD04
dr:D00648	C01BD05
dr:D00649	C03DB01
dr:D00650	C03AA01
dr:D00652	S01EC04
dr:D00653	S01EC03
dr:D00654	C03AA02
dr:D00655	S01EC05
dr:D00656	C03AA08
dr:D00657	C03AA05
dr:D00658	C03AA06
dr:D00659	R01AC03
dr:D00659	R06AX19
dr:D00659	S01GX07
dr:D00660	J01CG02
dr:D00661	N07AX03
dr:D00662	R06AX09
dr:D00663	R06AB01
dr:D00664	R06AE07
dr:D00665	R06AB04
dr:D00666	D04AA14
dr:D00666	R06AA04
dr:D00667	S01EB04
dr:D00668	R06AB02
dr:D00669	D04AA32
dr:D00669	R06AA02
dr:D00670	N06DA02
dr:D00671	R06AX26
dr:D00672	N05BB01
dr:D00673	A02BA02
dr:D00674	N02CC02
dr:D00675	N02CC04
dr:D00676	N02CC01
dr:D00677	A04AA02
dr:D00678	A04AA01
dr:D00679	N02CA02
dr:D00680	G02AB01
dr:D00681	N02CA04
dr:D00682	G02AD04
dr:D00683	R03AC02
dr:D00683	R03CC02
dr:D00684	R03AC17
dr:D00685	R03AB03
dr:D00685	R03CB03
dr:D00686	R03AC08
dr:D00686	R03CC07
dr:D00687	R03AC12
dr:D00688	R03AC03
dr:D00688	R03CC03
dr:D00689	A07EA07
dr:D00689	D07AC15
dr:D00689	R01AD01
dr:D00689	R03BA01
dr:D00690	D07AC13
dr:D00690	D07XC03
dr:D00690	R01AD09
dr:D00690	R03BA07
dr:D00691	R03DA01
dr:D00693	N05BA02
dr:D00694	N05BA05
dr:D00695	N05CD01
dr:D00696	N05CD08
dr:D00697	V03AB25
dr:D00698	N05CA05
dr:D00700	N03AA01
dr:D00701	N03AA02
dr:D00702	N05BE01
dr:D00704	N05CM08
dr:D00705	N05CC05
dr:D00706	N05CF02
dr:D00707	V03AB34
dr:D00708	N03AB01
dr:D00709	N03AX14
dr:D00710	N03AG01
dr:D00711	N01AX03
dr:D00712	N01AF01
dr:D00712	N05CA15
dr:D00714	N01AF03
dr:D00714	N05CA19
dr:D00717	A03AA07
dr:D00718	G04BD02
dr:D00719	A03BA03
dr:D00720	A03AB12
dr:D00721	A03AB07
dr:D00722	G04BD04
dr:D00723	A03AB08
dr:D00724	A02BC04
dr:D00725	A04AA04
dr:D00726	A03FA01
dr:D00727	A07EC03
dr:D00729	A07DA03
dr:D00731	A02AA04
dr:D00731	G04BX01
dr:D00732	N01BA04
dr:D00733	C05AD04
dr:D00733	D04AB02
dr:D00733	N01BB06
dr:D00733	S01HA06
dr:D00733	S02DA04
dr:D00734	A05AA02
dr:D00735	N01BX02
dr:D00735	R02AD04
dr:D00736	A16AX12
dr:D00737	N01BB07
dr:D00738	N01BB03
dr:D00739	C05AD07
dr:D00739	D04AB07
dr:D00740	C05AD05
dr:D00740	N01BA02
dr:D00740	S01HA05
dr:D00741	C05AD02
dr:D00741	D04AB06
dr:D00741	N01BA03
dr:D00741	S01HA03
dr:D00742	L04AB01
dr:D00743	R01AA08
dr:D00743	R01AB02
dr:D00743	S01GA01
dr:D00744	N06BA05
dr:D00745	L03AB04
dr:D00746	L03AB08
dr:D00747	L03AB03
dr:D00748	L03AC01
dr:D00749	L04AA13
dr:D00750	P02CE01
dr:D00751	D07AA01
dr:D00751	D10AA02
dr:D00751	H02AB04
dr:D00752	L04AA06
dr:D00753	L04AA10
dr:D00753	S01XA23
dr:D00754	L04AX02
dr:D00755	M03BX30
dr:D00756	R01AA06
dr:D00756	R01AB03
dr:D00756	S01GA02
dr:D00757	R01AA07
dr:D00757	R01AB06
dr:D00757	S01GA03
dr:D00758	M03AC04
dr:D00759	M03AC11
dr:D00760	M03AC07
dr:D00762	C02KB01
dr:D00763	M03AC10
dr:D00764	M03AC06
dr:D00765	M03AC09
dr:D00766	M03AB01
dr:D00767	M03AC03
dr:D00768	M03BA02
dr:D00769	B01AC04
dr:D00771	M03BB03
dr:D00772	M03BX08
dr:D00774	M03BC01
dr:D00775	N07XX02
dr:D00776	M03BX02
dr:D00777	N04BB01
dr:D00778	N04AC01
dr:D00779	N04AA02
dr:D00780	G02CB01
dr:D00780	N04BC01
dr:D00781	N04BX02
dr:D00782	N04AA04
dr:D00783	M03AX01
dr:D00784	N04BC04
dr:D00785	N04BD01
dr:D00786	N04BX01
dr:D00787	N04AA01
dr:D00788	N05AB07
dr:D00789	N05AA01
dr:D00790	N05AF03
dr:D00791	N05AB02
dr:D00792	N05AB02
dr:D00793	N05AB02
dr:D00794	N05AH01
dr:D00795	N05AC03
dr:D00796	N05AE02
dr:D00797	N05AA03
dr:D00798	N05AC02
dr:D00799	N05AB06
dr:D00800	N05AA05
dr:D00801	N05AN01
dr:D00802	D10AB01
dr:D00802	P02BX01
dr:D00803	P02CB02
dr:D00804	D11AX22
dr:D00804	P02CF01
dr:D00805	P02BB01
dr:D00806	P02CC02
dr:D00807	P02CB01
dr:D00808	P01CX02
dr:D00809	N06AA09
dr:D00810	N02BA03
dr:D00811	N06AA04
dr:D00812	N06AA01
dr:D00813	M01AB15
dr:D00813	S01BC05
dr:D00814	D05AX01
dr:D00814	N06AA12
dr:D00815	N06AA02
dr:D00816	N06AA10
dr:D00817	N06AX12
dr:D00818	N06AA21
dr:D00819	N06AX06
dr:D00820	N06AX05
dr:D00821	N06AX16
dr:D00822	N06AB04
dr:D00823	N06AB03
dr:D00824	N06AB08
dr:D00825	N06AB06
dr:D00826	N06AF04
dr:D00828	P01AX09
dr:D00829	D11AX16
dr:D00829	P01CX03
dr:D00830	G01AX06
dr:D00831	P01BC02
dr:D00832	P01CD01
dr:D00833	P01CC01
dr:D00834	P01CX01
dr:D00835	N01AH02
dr:D00836	N02AE01
dr:D00836	N07BC01
dr:D00837	N02AF01
dr:D00838	N02AX03
dr:D00839	N02AA03
dr:D00840	N07BC03
dr:D00842	N02AA01
dr:D00843	N02AF02
dr:D00845	N01AH03
dr:D00847	N02AA05
dr:D00848	R05DA09
dr:D00849	J01AA05
dr:D00850	A01AB23
dr:D00850	J01AA08
dr:D00851	D10AF02
dr:D00851	J01FA01
dr:D00851	S01AA17
dr:D00854	J01FG02
dr:D00855	J01XX05
dr:D00856	J01XX05
