ds	icd
ds:H00515	Q77.5
ds:H00516	Q37
ds:H00517	Q76.8
ds:H00518	Q78.8
ds:H00519	Q77.7
ds:H00520	Q77.0
ds:H00521	Q74.0
ds:H00522	Q76.3
ds:H00523	Q87.1
ds:H00524	G12.1
ds:H00525	E71.3
ds:H00527	H35.5
ds:H00528	Q75.8
ds:H00529	Q87.5
ds:H00530	Q04.3
ds:H00531	Q27.3
ds:H00532	Q87.2
ds:H00533	I78.0
ds:H00534	Q28.3
ds:H00535	Q82.0
ds:H00536	F01.1
ds:H00536	I67.3
ds:H00537	Q61.5
ds:H00538	Q61.5
ds:H00539	Q85.8
ds:H00539	Q87.8
ds:H00539	Q87.3
ds:H00540	Q78.2
ds:H00541	N15
ds:H00541	E79.0
ds:H00541	Q61.5
ds:H00542	Q61.2
ds:H00542	Q61.1
ds:H00544	Q04.8
ds:H00545	Q44.6
ds:H00546	Q21.1
ds:H00547	Q21.2
ds:H00548	F54
ds:H00548	E70.8
ds:H00549	Q21.3
ds:H00550	Q20.3
ds:H00551	Q44.7
ds:H00552	E74.8
ds:H00553	Q25.3
ds:H00554	Q23.1
ds:H00555	Q87.8
ds:H00556	Q87.8
ds:H00557	Q82.8
ds:H00558	Q82.9
ds:H00559	Q85.8
ds:H00560	Q82.8
ds:H00561	Q93.5
ds:H00562	G71.0
ds:H00563	G71.0
ds:H00564	J98.0
ds:H00565	G71.0
ds:H00566	G71.0
ds:H00567	G71.0
ds:H00568	G71.1
ds:H00569	Q87.1
ds:H00570	Q89.8
ds:H00571	Q87.8
ds:H00572	Q73.8
ds:H00573	Q87.8
ds:H00574	Q87.8
ds:H00575	Q63.8
ds:H00576	N04.9
ds:H00577	G40.4
ds:H00578	D69.4
ds:H00579	I99
ds:H00580	Q77.7
ds:H00581	Q87.8
ds:H00583	Q87.8
ds:H00584	Q81.0
ds:H00585	G71.0
ds:H00585	Q81.0
ds:H00586	Q81
ds:H00587	Q81.2
ds:H00588	L81.6
ds:H00589	H35.0
ds:H00590	G71.0
ds:H00591	G71.0
ds:H00592	G71.0
ds:H00593	G71.0
ds:H00594	G71.0
ds:H00594	G71.8
ds:H00595	G71.8
ds:H00596	G71.8
ds:H00597	Q87.8
ds:H00598	Q99.1
ds:H00599	Q99.1
ds:H00600	Q51.8
ds:H00601	E34.8
ds:H00602	E26.0
ds:H00602	I15.2
ds:H00603	I15.8
ds:H00604	H91.9
ds:H00605	H91.9
ds:H00606	G40.3
ds:H00607	Q99.1
ds:H00608	Q56.1
ds:H00609	Q55.8
ds:H00610	Q75.4
ds:H00611	Q87.2
ds:H00612	H40.1
ds:H00613	M89.8
ds:H00614	M72.9
ds:H00615	K00.5
ds:H00616	Q02
ds:H00617	Q87.8
ds:H00618	K00.2
ds:H00619	Q87.1
ds:H00620	Q13.8
ds:H00622	Q87.0
ds:H00623	M89.5
ds:H00624	K83.1
ds:H00625	K00.4
ds:H00626	N05.1
ds:H00627	E28.3
ds:H00628	K76.8
ds:H00629	Q74.8
ds:H00630	M05
ds:H00631	Q87.1
ds:H00632	Q89.3
ds:H00633	H50.8
ds:H00634	Q87.8
ds:H00635	Q13.1
ds:H00636	Q73.0
ds:H00637	Q71.8
ds:H00638	Q82.4
ds:H00639	Q87.8
ds:H00640	Q87.2
ds:H00641	Q87.2
ds:H00642	Q87.8
ds:H00643	Q87.8
ds:H00644	Q81.0
ds:H00645	Q82.3
ds:H00646	Q82.4
ds:H00647	Q82.8
ds:H00648	Q82.8
ds:H00649	Q82.4
ds:H00650	E03.8
ds:H00651	Q82.4
ds:H00652	K00.2
ds:H00653	Q87.4
ds:H00654	E71.1
ds:H00655	G10
ds:H00656	G12.1
ds:H00657	G71.2
ds:H00658	F78.9
ds:H00659	Q87.8
ds:H00660	Q68.8
ds:H00661	Q87
ds:H00662	Q12.1
ds:H00663	Q82.8
ds:H00664	D55.2
ds:H00665	Q87.5
ds:H00666	Q85.8
ds:H00667	Q84.2
ds:H00668	D55.0
ds:H00668	D55.1
ds:H00669	Q87.8
ds:H00670	Q84.1
ds:H00671	Q80.8
ds:H00673	Q87.1
ds:H00674	D55.3
ds:H00675	Q78.8
ds:H00676	Q12.3
ds:H00677	Q10.4
ds:H00677	Q38.4
ds:H00678	Q77.0
ds:H00679	E75.2
ds:H00681	L73.2
ds:H00682	Q87.8
ds:H00683	Q84.3
ds:H00684	Q84.5
ds:H00685	Q87.8
ds:H00686	Q87.8
ds:H00687	Q87.0
ds:H00688	G47
ds:H00689	G47.2
ds:H00690	H35.5
ds:H00691	Q80.3
ds:H00692	E72.0
ds:H00693	Q80.8
ds:H00694	N25.8
ds:H00695	Q82.8
ds:H00696	Q82.8
ds:H00697	G71.0
ds:H00698	G71.2
ds:H00699	G71.2
ds:H00700	G71.2
ds:H00701	G71.2
ds:H00702	G71.2
ds:H00703	G71.2
ds:H00704	G71.0
ds:H00705	G71.1
ds:H00706	Q82.8
ds:H00707	Q80.8
ds:H00708	Q82.4
ds:H00709	Q87.8
ds:H00710	Q82.8
ds:H00711	Q87.1
ds:H00712	Q80.8
ds:H00713	Q87.3
ds:H00714	Q82.8
ds:H00715	Q82.8
ds:H00716	Q82.8
ds:H00717	Q82.8
ds:H00718	Q87.3
ds:H00719	E34.8
ds:H00720	I45.81
ds:H00722	Q82.8
ds:H00723	Q82.8
ds:H00724	Q38.6
ds:H00726	H18.5
ds:H00727	Q87.8
ds:H00728	I49.0
ds:H00731	I48
ds:H00732	H35.5
ds:H00733	Q80.4
ds:H00734	Q80.2
ds:H00735	Q80.0
ds:H00736	E75.5
ds:H00737	Q80.8
ds:H00739	Q80.9
ds:H00743	G71.1
ds:H00744	G71.1
ds:H00745	G72.3
ds:H00746	G72.3
ds:H00747	G72.3
ds:H00748	G72.3
ds:H00749	G11.8
ds:H00750	Q82.8
ds:H00751	Q77.2
ds:H00752	Q87.8
ds:H00753	N31.8
ds:H00754	E71.1
ds:H00755	Q82.8
ds:H00756	Q87.0
ds:H00757	Q87.1
ds:H00758	Q77.7
ds:H00759	E70.3
ds:H00760	Q77.7
ds:H00761	Q77.7
