atc	icd
J01CA04	A49.8
A02BD08	A49.8
A02BD05	A49.8
A02BC01	A49.8
J01FA09	A49.8
A02BC03	A49.8
J01RA01	A49.8
A02BC04	A49.8
J01RA01	A49.8
A02BC05	A49.8
A02BC05	A49.8
S03AA02	A04.5
J01AA08	A04.5
J01AA02	A04.5
J01AA02	A04.5
J01AA02	A04.5
J01AA01	A04.5
S03AA08	A75
S03AA08	A75
S03AA02	A75
J01AA08	A75
J01AA02	A75
J01AA02	A75
J01AA02	A75
J01AA01	A75
S03AA02	A77
J01AA08	A77
J01AA02	A77
J01AA02	A77
J01AA02	A77
J01AA01	A77
S03AA08	A75.3
S03AA08	A75.3
S03AA02	A75.3
J01AA08	A75.3
J01AA01	A75.3
S03AA02	A23
J01AA08	A23
J01AA02	A23
J01GA01	A23
J01AA02	A23
S01AE05	A23
J01AA02	A23
J01AA01	A23
S03AA02	A44
J01AA08	A44
J01AA02	A44
J01AA02	A44
J01AA02	A44
J01AA01	A44
S01AA19	A22
S01AA14	A22
S01AA19	A22
S01AE02	A22
S01AA14	A22
S03AA07	A22
J06BB18	A22
J01MA22	A22
S03AA07	A22
S03AA02	A22
J01AA08	A22
S01AA14	A22
J01AA02	A22
J01AA02	A22
S01AE05	A22
J01AA02	A22
J01AA01	A22
R01AX06	U82.1
J01XX09	U82.1
J01XX11	U82.1
J01XA02	U82.1
J01XX08	U82.1
J01XA01	U82.1
S01AA14	A32
S01AA17	A32
S01AA17	A32
S01AA17	A32
J01AA08	A32
S01AA14	A32
J01AA02	A32
J01AA02	A32
J01AA02	A32
J01AA01	A32
J01FF01	P36.1
J01FF01	P36.1
J01FF01	P36.1
J01DC14	I39.8
P01AB01	I39.8
S01AA19	I39.8
J01DB04	I39.8
S01AA17	I39.8
J01DE02	I39.8
J01DH55	I39.8
S01AA14	I39.8
J01DH51	I39.8
S01AA14	I39.8
J01DD02	I39.8
J01XX09	I39.8
J01DB04	I39.8
J01FF02	I39.8
S03AA06	I39.8
J01DD62	I39.8
J01XA01	I39.8
J01DD01	I39.8
S01AA14	I39.8
J01GA01	I39.8
J01DH04	I39.8
S01AA14	A48.0
S03AA08	A48.0
S03AA08	A48.0
S03AA02	A48.0
S01AA17	A48.0
S01AA14	A48.0
J01AA01	A48.0
J07AM51	A35
J07AM51	A35
S01AA14	A35
S01AA17	A35
J07AM01	A35
J06BB02	A35
J06BB02	A35
J06BB02	A35
S01AA17	A35
N05AA01	A35
S01AA14	A35
P01AB01	A04.7
A07AA12	A04.7
J01XA01	A04.7
S01AA14	A05.1
S01AA14	A05.1
J01XX08	J15.8A
J01FG02	J15.8A
J01FA06	J20.0
J01MA22	J20.0
S01AE05	J20.0
R05DA07	A19
J04AC01	A19
J04AK02	A19
L03AX03	A19
J04AB04	A19
J04AB01	A19
V03AB23	A19
J04AK01	A19
R05CB03	A19
R05DB21	A19
S01BA03	A19
R05DB21	A19
J04AA03	A19
J04AC01	A19
R05DB24	A19
S01AA24	A19
L03AX03	A19
R05DA09	A19
J04AB02	A19
J04AM05	A19
R05CB06	A19
J04AD03	A19
R03CC02	A19
S03BA03	A19
S03BA02	A19
H02AB04	A19
S02BA01	A19
S03BA01	A19
R05CB04	A19
S03BA01	A19
J01GA01	A19
H02AB07	A19
S01BA05	A19
S02BA01	A19
S01AE05	A19
S03BA02	A19
H02AB04	A19
R05FA02	A19
R06AB54	A19
S01AA17	A36
J06AA01	A36
J07AF01	A36
J07AM51	A36
J07AM51	A36
S01AA14	A36
S01AA14	A36
S01AA17	A36
S01AA17	A36
S01AA17	A36
S01AA14	A36
J04BA01	A30
J01DB04	A30
J04BA02	A30
J04AB02	A30
S02AA16	A30
S03BA02	J67
H02AB07	J67
S01AA26	N37.0
S01AA26	N37.0
S03AA08	A55
S03AA08	A55
S03AA02	A55
S01AA17	A55
J01AA08	A55
J01AA02	A55
J01AA02	A55
J01AA02	A55
J01AA01	A55
S03AA02	A71
J01AA08	A71
J01AA02	A71
J01AA02	A71
J01AA02	A71
J01AA01	A71
S03AA02	A70
J01AA08	A70
J01AA02	A70
J01AA02	A70
J01AA02	A70
J01AA01	A70
S01AA27	A69.2
V03AB21	A53
J01FA02	A53
J01CA04	A53
S01AA14	A53
S01AA19	A53
S01AA14	A53
S01AA14	A53
S01AA17	A53
S01AA17	A53
S03AA02	A53
S01AA17	A53
J01AA08	A53
S01AA14	A53
J01AA02	A53
J01AA02	A53
J01AA02	A53
J01AA01	A53
S03AA02	A27
S01AA14	A27
J01GA01	A27
J01AA01	A27
P01AX11	A07.2
L01XX09	B55
J02AA01	B55
P01AB02	A06
P01AB01	A06
A07AA06	A06
S01AA17	A06
S01AA17	A06
P01BA01	A06
S03AA02	A06
S01AA17	A06
J01AA08	A06
J01AA02	A06
J01AA02	A06
J01AA02	A06
P01BA03	B53
P01BC02	B53
P01BA02	B53
P01BC01	B53
P01BD01	B53
P01BC01	B53
P01BA01	B53
P01BF01	B53
P01BB51	B53
J01AA02	B53
J01AA02	B53
P01AB02	A07.1
P01AB01	A07.1
