ds	icd	pathway
ds:H02027	E23.0	NA
ds:H02035	E23.0	NA
ds:H02036	E23.0	NA
ds:H02038	E23.0	NA
ds:H02039	E23.0	path:hsa04060
ds:H02039	E23.0	path:hsa04080
ds:H02039	E23.0	path:hsa04151
ds:H02039	E23.0	path:hsa04630
ds:H00253	E23.2	NA
ds:H01011	E23.6	NA
ds:H01253	E23.6	path:hsa04080
ds:H01253	E23.6	path:hsa04912
ds:H01431	E24	path:hsa04934
ds:H00216	E25.0	path:hsa00140
ds:H01111	E25.8	path:hsa00030
ds:H01111	E25.8	path:hsa00140
ds:H01111	E25.8	path:hsa00980
ds:H01702	E25.8	path:hsa04080
ds:H02020	E25.8	path:hsa00140
ds:H02020	E25.8	path:hsa04913
ds:H00602	E26.0	path:hsa00140
ds:H01603	E26.0	path:hsa04020
ds:H01603	E26.0	path:hsa04261
ds:H01603	E26.0	path:hsa04924
ds:H01603	E26.0	path:hsa04960
ds:H00259	E26.1	path:hsa00140
ds:H00239	E26.8	path:hsa04960
ds:H00240	E26.8	NA
ds:H00256	E27	NA
ds:H01598	E27.1	NA
ds:H00257	E27.4	NA
ds:H00258	E27.4	path:hsa00140
ds:H01772	E27.4	NA
ds:H00260	E27.5	NA
ds:H01163	E27.8	NA
ds:H02049	E27.8	path:hsa04934
ds:H01739	E28.2	NA
ds:H00627	E28.3	path:hsa04020
ds:H00627	E28.3	path:hsa04080
ds:H00627	E28.3	path:hsa04810
ds:H02019	E29.0	path:hsa04020
ds:H02019	E29.0	path:hsa04917
ds:H02027	E29.1	NA
ds:H00794	E30.1	path:hsa00140
ds:H00937	E30.1	path:hsa04020
ds:H00937	E30.1	path:hsa04080
ds:H00937	E30.1	path:hsa04912
ds:H02018	E30.1	NA
ds:H02061	E30.9	path:hsa01522
ds:H02061	E30.9	path:hsa04915
ds:H02061	E30.9	path:hsa04917
ds:H01971	E31.0	path:hsa04659
ds:H01971	E31.0	path:hsa05321
ds:H01972	E31.0	path:hsa05340
ds:H00931	E34.3	path:hsa04012
ds:H00931	E34.3	path:hsa04062
ds:H00931	E34.3	path:hsa04630
ds:H01274	E34.3	path:hsa04114
