ds	drug
ds:H00630	dr:D06951
ds:H01633	dr:D06412
ds:H01671	dr:D07033
ds:H01634	dr:D07033
ds:H00630	dr:D06944
ds:H00409	dr:D09763
ds:H01563	dr:D07507
ds:H01632	dr:D05700
ds:H00042	dr:D06067
ds:H01633	dr:D07569
ds:H00315	dr:D00229
ds:H00320	dr:D00229
ds:H00354	dr:D00229
ds:H01408	dr:D00229
ds:H01515	dr:D00229
ds:H01643	dr:D06455
ds:H01445	dr:D06950
ds:H00079	dr:D07054
ds:H00334	dr:D05408
ds:H00328	dr:D05408
ds:H01325	dr:D05408
ds:H00339	dr:D05408
ds:H00336	dr:D05408
ds:H00337	dr:D05408
ds:H00343	dr:D05408
ds:H00332	dr:D05408
ds:H00306	dr:D05408
ds:H01314	dr:D05408
ds:H00354	dr:D05408
ds:H00241	dr:D05578
ds:H00243	dr:D05578
ds:H00428	dr:D05578
ds:H00429	dr:D05578
ds:H01892	dr:D05589
ds:H01293	dr:D05866
ds:H01317	dr:D04879
ds:H00218	dr:D03896
ds:H01621	dr:D00106
ds:H00412	dr:D06675
ds:H01563	dr:D06677
ds:H01631	dr:D02085
ds:H00100	dr:D03245
ds:H01669	dr:D01662
ds:H01862	dr:D01662
ds:H01143	dr:D01662
ds:H00746	dr:D02060
ds:H01565	dr:D03299
ds:H01566	dr:D03299
ds:H00320	dr:D10245
ds:H00320	dr:D10246
ds:H01483	dr:D06495
ds:H00034	dr:D06495
ds:H01360	dr:D06315
ds:H00079	dr:D06315
ds:H01630	dr:D06606
ds:H01388	dr:D00987
ds:H00057	dr:D00987
ds:H01607	dr:D00987
ds:H01102	dr:D00987
ds:H00409	dr:D07080
ds:H01460	dr:D00474
ds:H01090	dr:D00486
ds:H01092	dr:D00486
ds:H01091	dr:D00486
ds:H01132	dr:D00490
ds:H01605	dr:D00490
ds:H01633	dr:D00255
ds:H01632	dr:D00255
ds:H00294	dr:D00255
ds:H00731	dr:D00255
ds:H00398	dr:D07042
ds:H00630	dr:D07042
ds:H00079	dr:D07042
ds:H00079	dr:D07044
ds:H01466	dr:D00448
ds:H00630	dr:D00448
ds:H01672	dr:D00448
ds:H01671	dr:D06965
ds:H01609	dr:D06967
ds:H01633	dr:D06967
ds:H01563	dr:D01199
ds:H00079	dr:D01390
ds:H00892	dr:D01390
ds:H01714	dr:D01390
ds:H01418	dr:D05529
ds:H00630	dr:D06980
ds:H00365	dr:D05407
ds:H00001	dr:D05387
ds:H00002	dr:D05387
ds:H00612	dr:D00652
ds:H01662	dr:D00267
ds:H01646	dr:D00267
ds:H01565	dr:D01184
ds:H01566	dr:D01184
ds:H01532	dr:D01206
ds:H01609	dr:D01391
ds:H00007	dr:D01404
ds:H00011	dr:D01404
ds:H01613	dr:D01404
ds:H01463	dr:D01404
ds:H00005	dr:D01404
ds:H01464	dr:D01404
ds:H01892	dr:D01404
ds:H00008	dr:D01404
ds:H00001	dr:D01404
ds:H00002	dr:D01404
ds:H00009	dr:D01404
ds:H01054	dr:D00077
ds:H01450	dr:D00811
ds:H01646	dr:D00811
ds:H01293	dr:D00811
ds:H01646	dr:D00817
ds:H01646	dr:D00820
ds:H01646	dr:D00822
ds:H00038	dr:D00288
ds:H00007	dr:D00288
ds:H01460	dr:D00539
ds:H01639	dr:D01217
