ds	drug	atc	icd
ds:H00013	dr:D02131	L01BC53	C34
ds:H00013	dr:D02168	L01XX17	C34
ds:H00013	dr:D01416	NA	C34
ds:H00013	dr:D04107	L01CB01	C34
ds:H00013	dr:D07100	L01DB10	C34
ds:H00013	dr:D00208	L01DC03	C34
ds:H00013	dr:D00584	L01BC02	C34
ds:H00013	dr:D03327	L01XD01	C34
ds:H00013	dr:D01985	NA	C34
ds:H00013	dr:D00343	L01AA06	C34
ds:H00013	dr:D00275	L01XA01	C34
ds:H00013	dr:D00287	L01AA01	C34
ds:H00013	dr:D02115	L04AX03	C34
ds:H00013	dr:D10316	L01XC17	C34
ds:H00013	dr:D01769	L01CA03	C34
ds:H00013	dr:D00168	L01BC01	C34
ds:H00013	dr:D01911	L01DB04	C34
ds:H00013	dr:D01275	L01DB01	C34
ds:H00013	dr:D01061	L01XX19	C34
ds:H00013	dr:D03229	L01DC01	C34
ds:H00013	dr:D01363	L01XA02	C34
ds:H00013	dr:D00125	L01CB01	C34
ds:H00013	dr:D08756	NA	C34
ds:H00014	dr:D01059	L01AD06	C34
ds:H00014	dr:D02131	L01BC53	C34
ds:H00014	dr:D01416	NA	C34
ds:H00014	dr:D10574	L01XC18	C34
ds:H00014	dr:D01977	L01XE02	C34
ds:H00014	dr:D07100	L01DB10	C34
ds:H00014	dr:D00208	L01DC03	C34
ds:H00014	dr:D07866	L01CD02	C34
ds:H00014	dr:D00584	L01BC02	C34
ds:H00014	dr:D01155	L01BC05	C34
ds:H00014	dr:D03327	L01XD01	C34
ds:H00014	dr:D01935	L01CA04	C34
ds:H00014	dr:D01985	NA	C34
ds:H00014	dr:D06503	L01BA04	C34
ds:H00014	dr:D09371	L01XC21	C34
ds:H00014	dr:D09731	L01XE16	C34
ds:H00014	dr:D09733	L01XE13	C34
ds:H00014	dr:D10018	L01XC22	C34
ds:H00014	dr:D04023	L01XE03	C34
ds:H00014	dr:D02063	NA	C34
ds:H00014	dr:D10104	L01XE23	C34
ds:H00014	dr:D10514	L01XE47	C34
ds:H00014	dr:D10551	L01XE28	C34
ds:H00014	dr:D10766	L01XE35	C34
ds:H00014	dr:D00275	L01XA01	C34
ds:H00014	dr:D10450	L01XE36	C34
ds:H00014	dr:D06409	L01XC07	C34
ds:H00014	dr:D10808	L01XC28	C34
ds:H00014	dr:D10866	L01XE43	C34
ds:H00014	dr:D00287	L01AA01	C34
ds:H00014	dr:D02115	L04AX03	C34
ds:H00014	dr:D10316	L01XC17	C34
ds:H00014	dr:D01769	L01CA03	C34
ds:H00014	dr:D00168	L01BC01	C34
ds:H00014	dr:D01911	L01DB04	C34
ds:H00014	dr:D01275	L01DB01	C34
ds:H00014	dr:D02165	L01CD02	C34
ds:H00014	dr:D01061	L01XX19	C34
ds:H00014	dr:D11012	L01XE44	C34
ds:H00014	dr:D00491	L01CD01	C34
ds:H00014	dr:D03229	L01DC01	C34
ds:H00014	dr:D01363	L01XA02	C34
ds:H00014	dr:D08756	NA	C34
ds:H00014	dr:D06399	L01BC53	C34
ds:H00014	dr:D10176	L01XE25	C34
ds:H00014	dr:D10773	L01XC32	C34
ds:H00015	dr:D06503	L01BA04	C45
ds:H00015	dr:D00275	L01XA01	C45
ds:H00015	dr:D10316	L01XC17	C45
ds:H00016	dr:D02063	NA	C06
ds:H00016	dr:D03229	L01DC01	C06
ds:H00016	dr:D08756	NA	C06
ds:H00017	dr:D01416	NA	C15
ds:H00017	dr:D04197	L01BC09	C15
ds:H00017	dr:D07866	L01CD02	C15
ds:H00017	dr:D00584	L01BC02	C15
ds:H00017	dr:D03327	L01XD01	C15
ds:H00017	dr:D01985	NA	C15
ds:H00017	dr:D00275	L01XA01	C15
ds:H00017	dr:D01769	L01CA03	C15
ds:H00017	dr:D02165	L01CD02	C15
ds:H00017	dr:D00491	L01CD01	C15
ds:H00017	dr:D03229	L01DC01	C15
ds:H00018	dr:D01059	L01AD06	C16
ds:H00018	dr:D01309	NA	C16
ds:H00018	dr:D02131	L01BC53	C16
ds:H00018	dr:D03257	L01XC03	C16
ds:H00018	dr:D10574	L01XC18	C16
ds:H00018	dr:D04197	L01BC09	C16
ds:H00018	dr:D00208	L01DC03	C16
ds:H00018	dr:D01790	L01XA03	C16
ds:H00018	dr:D07866	L01CD02	C16
ds:H00018	dr:D00584	L01BC02	C16
ds:H00018	dr:D02214	L01DB03	C16
ds:H00018	dr:D01223	L01BC06	C16
ds:H00018	dr:D03327	L01XD01	C16
ds:H00018	dr:D01244	L01BC03	C16
ds:H00018	dr:D04715	V03AF04	C16
ds:H00018	dr:D09371	L01XC21	C16
ds:H00018	dr:D01695	L03AX01	C16
ds:H00018	dr:D00275	L01XA01	C16
ds:H00018	dr:D00287	L01AA01	C16
ds:H00018	dr:D10316	L01XC17	C16
ds:H00018	dr:D00168	L01BC01	C16
ds:H00018	dr:D01911	L01DB04	C16
ds:H00018	dr:D01275	L01DB01	C16
ds:H00018	dr:D02165	L01CD02	C16
ds:H00018	dr:D01061	L01XX19	C16
ds:H00018	dr:D00491	L01CD01	C16
ds:H00018	dr:D08386	L01DB08	C16
ds:H00018	dr:D00142	L04AX03	C16
ds:H00018	dr:D08756	NA	C16
ds:H00018	dr:D06399	L01BC53	C16
ds:H00019	dr:D02131	L01BC53	C25
ds:H00019	dr:D04197	L01BC09	C25
ds:H00019	dr:D00208	L01DC03	C25
ds:H00019	dr:D01790	L01XA03	C25
ds:H00019	dr:D00584	L01BC02	C25
ds:H00019	dr:D01155	L01BC05	C25
ds:H00019	dr:D04715	V03AF04	C25
ds:H00019	dr:D04023	L01XE03	C25
ds:H00019	dr:D00287	L01AA01	C25
ds:H00019	dr:D00168	L01BC01	C25
ds:H00019	dr:D01275	L01DB01	C25
ds:H00019	dr:D01061	L01XX19	C25
ds:H00019	dr:D00491	L01CD01	C25
ds:H00019	dr:D06399	L01BC53	C25
ds:H00020	dr:D01059	L01AD06	C20
ds:H00020	dr:D01309	NA	C20
ds:H00020	dr:D02131	L01BC53	C20
ds:H00020	dr:D10574	L01XC18	C20
ds:H00020	dr:D03455	L01XC06	C20
ds:H00020	dr:D04197	L01BC09	C20
ds:H00020	dr:D00208	L01DC03	C20
ds:H00020	dr:D01790	L01XA03	C20
ds:H00020	dr:D00584	L01BC02	C20
ds:H00020	dr:D01223	L01BC06	C20
ds:H00020	dr:D01244	L01BC03	C20
ds:H00020	dr:D04715	V03AF04	C20
ds:H00020	dr:D09574	S01LA05	C20
ds:H00020	dr:D09371	L01XC21	C20
ds:H00020	dr:D05350	L01XC08	C20
ds:H00020	dr:D01211	V03AF03	C20
ds:H00020	dr:D10526	L01BC59	C20
ds:H00020	dr:D10819	NA	C20
ds:H00020	dr:D06409	L01XC07	C20
ds:H00020	dr:D00287	L01AA01	C20
ds:H00020	dr:D10316	L01XC17	C20
ds:H00020	dr:D00168	L01BC01	C20
ds:H00020	dr:D01275	L01DB01	C20
ds:H00020	dr:D01061	L01XX19	C20
ds:H00020	dr:D10137	L01XE21	C20
ds:H00020	dr:D06399	L01BC53	C20
ds:H00020	dr:D11394	V03AF10	C20
ds:H00021	dr:D00214	L01DA01	C64
ds:H00021	dr:D03357	L03AB03	C64
ds:H00021	dr:D00748	L03AC01	C64
ds:H00021	dr:D06068	L01XE09	C64
ds:H00021	dr:D05380	L01XE11	C64
ds:H00021	dr:D06272	L01XE05	C64
ds:H00021	dr:D04603	L01XC11	C64
